Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won
My Daddy Knows Best,THE MARVELETTES,8/3/1963,87,67,9,1,0,0
Dancin' Holiday,THE OLYMPICS,7/6/1963,92,86,6,2,0,0
Lucky Lips,CLIFF RICHARD,7/20/1963,116,62,10,26,0,0
It's A Lonely Town (Lonely Without You),GENE McDANIELS,8/10/1963,90,64,7,5,0,0
Make The Music Play,DIONNE WARWICK,7/27/1963,131,91,3,7,0,0
A Breath Taking Guy,THE SUPREMES,7/20/1963,124,75,8,9,0,0
Saturday Sunshine,BURT BACHARACH,7/20/1963,106,93,7,3,0,0
Man's Temptation,GENE CHANDLER,8/3/1963,122,71,8,26,0,0
The Minute You're Gone,SONNY JAMES,6/29/1963,119,95,11,11,0,0
The Lonely Surfer,JACK NITSCHE,7/27/1963,119,39,10,-1,0,0
(I Cried At) Laura's Wedding,BARBARA LYNN,8/10/1963,97,68,8,5,0,0
This Is My Prayer,THELMA KILGORE,8/10/1963,98,60,9,-1,0,0
Still No. 2,BEN COLDER,7/20/1963,98,98,1,-1,0,0
What I Gotta Do (To Make You Jealous),LITTLE EVA,7/27/1963,120,101,6,15,0,0
At The Shore,JOHNNY CASWELL,8/3/1963,97,97,6,0,0,0
True Blue Lou,TONY BENNETT,8/31/1963,129,118,2,2,0,0
Chinese Checkers,BOOKER T. AND THE MG'S,7/27/1963,90,78,9,29,0,0
Treat 'Em Tough,JIMMY SOUL,7/27/1963,115,108,4,-1,0,0
Cross Roads (Part 1),LUTHER RANDOLPH &amp; JOHNNY STILES,7/6/1963,113,109,10,-1,0,0
It Won't Be This Way (Always),THE KING PINS,7/27/1963,101,89,8,-1,0,0
Then He Kissed Me,THE CRYSTALS,8/10/1963,111,6,13,58,0,0
Straighten Up Your Heart,BARBARA LEWIS,8/10/1963,112,43,8,15,0,0
Your Baby's Gonna Surfin',DUANE EDDY AND THE REBELETTES,8/3/1963,131,93,7,-1,0,0
Mala Femmena,CONNIE FRANCIS,8/10/1963,114,114,2,8,0,0
I'm The Boss,BURL IVES,7/6/1963,125,122,2,2,0,0
Baja,THE ASTRONAUTS,7/6/1963,132,94,7,17,0,0
Little Dancing Doll,SHELBY FLINT,7/27/1963,105,103,3,-1,0,0
Why Don't You Believe Me,THE DUPREES,8/10/1963,121,37,9,11,0,0
Birthday Party,THE PIXIES THREE,8/3/1963,130,40,11,3,0,0
A Slow Dance,RONNIE AND THE HI-LITES,8/24/1963,128,116,4,-1,0,0
Do The Monkey,KING CURTIS,7/27/1963,124,92,7,1,0,0
Little Deuce Coupe,THE BEACH BOYS,8/10/1963,126,15,12,42,0,0
River's Invitation,PERCY MAYFIELD,6/1/1963,99,99,12,11,0,0
I've Got A Right To Cry,FATS DOMINO,8/24/1963,130,130,1,-1,0,0
Love Me All The Way,KIM WESTON,8/3/1963,110,94,7,7,0,0
The Happy Puppy,BENT FABRIC AND HIS PIANO,8/3/1963,133,123,4,-1,0,0
Old Cape Cod,JERRY VALE,8/10/1963,131,118,2,13,0,0
When I'm Walking (Let Me Walk),FATS DOMINO,8/24/1963,119,114,2,-1,0,0
Where Is Johnny Now,THE SAPPHIRES,8/24/1963,135,135,1,4,0,0
Scarlett O'Hara,LAWRENCE WELK AND HIS ORCHESTRA,6/22/1963,125,89,5,-1,0,0
"Hello, I Love You",THE DOORS,6/29/1968,108,1,13,56,0,0
Classical Gas,MASON WILLIAMS,6/15/1968,102,2,15,42,1,0
Stoned Soul Picnic,THE 5TH DIMENSION,5/25/1968,104,3,17,34,0,0
People Got To Be Free,THE RASCALS,7/13/1968,107,1,15,34,0,0
Hurdy Gurdy Man,DONOVAN,6/15/1968,127,5,13,56,0,0
Lady Willpower,GARY PUCKETT AND THE UNION GAP,6/8/1968,64,2,13,44,0,0
"Turn Around, Look At Me",THE VOGUES,5/25/1968,136,7,18,35,0,0
Jumpin' Jack Flash,ARETHA FRANKLIN,9/27/1986,61,21,11,30,0,0
Born To Be Wild,STEPPENWOLF,7/6/1968,111,2,14,65,0,0
The Horse,CLIFF NOBLES AND CO.,5/25/1968,71,2,14,10,0,0
Stand In My Corner,THE DELLS,6/29/1968,89,10,13,-1,0,0
Pictures Of Matchstick Men,THE STATUS QUO,5/4/1968,131,12,19,0,0,0
This Guy's In Love With You,HERB ALPERT,5/11/1968,108,1,15,50,2,0
Journey To The Center Of The Mind,THE AMBOY DUKES,6/15/1968,125,16,14,35,0,0
Dream A Little Dream Of Me,MAMA CASS with THE MAMAS AND THE PAPAS,7/6/1968,94,12,11,-1,0,0
Autumn Of My Life,BOBBY GOLDSBORO,6/29/1968,90,19,9,27,0,0
Light My Fire,THE DOORS,5/27/1967,131,1,18,70,0,0
Soul-Limbo,BOOKER T. AND THE MG'S,7/6/1968,116,17,11,25,0,0
Sky Pilot (Part 1),ERIC BURDON AND THE ANIMALS,5/18/1968,109,14,16,-1,0,0
I Can't Stop Dancing,ARCHIE BELL AND THE DRELLS,7/20/1968,78,9,10,27,0,0
Sealed With A Kiss,BOBBY VINTON,6/10/1972,73,19,14,53,0,0
Indian Lake,THE COWSILLS,5/25/1968,116,10,14,24,0,0
Reach Out Of The Darkness,FRIEND AND A LOVER,5/18/1968,97,10,14,-1,0,0
The Look Of Love,DUSTY SPRINGFIELD,9/2/1967,96,22,12,38,0,0
(Love Is Like A) Baseball Game,THE INTRUDERS,7/6/1968,99,26,9,22,0,0
Lover's Holiday,PEGGY SCOTT &amp; JO JO BENSON,5/18/1968,114,31,15,-1,0,0
Dreams Of The Everyday Housewife,GLEN CAMPBELL,6/29/1968,102,32,9,35,0,0
Don't Take It So Hard,PAUL REVERE AND THE RAIDERS featuring MARK LINDSEY,6/15/1968,117,27,10,-1,0,0
Alice Long (You're Still My Favorite Girlfriend),TOMMY BOYCE &amp; BOBBY HART,6/29/1968,110,27,11,-1,0,0
Hitch It To The Horse,THE FANTASTIC JOHNNY C,6/15/1968,121,34,11,2,0,0
Love Makes A Woman,BARBARA ACKLIN,7/13/1968,98,15,12,25,0,0
"1, 2, 3, Red Light",1910 FRUITGUM CO.,7/13/1968,110,5,15,-1,0,0
The Eyes Of A New York Woman,B.J. THOMAS,6/1/1968,125,28,17,25,0,0
You Met Your Match,STEVIE WONDER,7/13/1968,106,35,8,24,0,0
Eleanor Rigby,THE BEATLES,8/20/1966,101,11,9,60,0,0
Here Comes The Judge,SHORTY LONG,5/25/1968,128,8,12,10,0,0
Please Return Your Love To Me,THE TEMPTATIONS,7/27/1968,102,26,8,21,0,0
Prayer Meetin',WILLIE MITCHELL,7/6/1968,113,45,8,24,0,0
Folsom Prison Blues,JOHNNY CASH,5/25/1968,96,32,12,66,3,0
Tuesday Afternoon (Forever Afternoon),THE MOODY BLUES,7/6/1968,127,24,13,40,0,0
Yesterday's Dreams,THE FOUR TOPS,7/13/1968,131,49,7,-1,0,0
Do It Again,THE BEACH BOYS,7/20/1968,115,20,11,41,0,0
Slip Away,CLARENCE CARTER,6/29/1968,104,6,18,52,2,0
Down At Lulu's,THE OHIO EXPRESS,7/20/1968,131,33,11,-1,0,0
I Get The Sweetest Feeling,JACKIE WILSON,7/13/1968,135,34,9,51,1,0
Hard To Handle,BLACK CROWES,6/22/1991,84,26,14,58,0,0
Somebody Cares,TOMMY JAMES AND THE SHONDELLS,7/13/1968,105,53,7,17,0,0
Can't You Find Another Way (Of Doing It),SAM AND DAVE,8/3/1968,86,54,6,31,0,0
Give A Damn,SPANKY AND OUR GANG,8/3/1968,95,43,8,12,0,0
"I Guess I'll Have To Cry, Cry,Cry",JAMES BROWN AND THE FAMOUS FLAMES,7/20/1968,108,55,7,3,0,0
The Fool On The Hill,SERGIO MENDES AND BRASIL '66,8/10/1968,61,6,12,28,0,0
Baby You Come Rollin' Across My Mind,THE PEPPERMINT TROLLEY COMPANY,6/8/1968,95,59,10,-1,0,0
Sudden Stop,PERCY SLEDGE,8/3/1968,97,63,5,23,0,0
Brown Eyed Woman,BILL MEDLEY,7/20/1968,123,43,13,14,0,0
Two-Bit Manchild,NEIL DIAMOND,7/6/1968,106,66,7,9,0,0
I've Never Found A Girl (To Love Me Like You Do),EDDIE FLOYD,7/6/1968,117,40,12,23,0,0
And Suddenly,THE CHERRY PEOPLE,7/6/1968,124,45,10,2,0,0
Mrs. Bluebird,ETERNITY'S CHILDREN,6/29/1968,111,69,9,7,0,0
Breaking Up Is Hard To Do,NEIL SEDAKA,6/23/1962,102,1,15,48,1,0
Morning Dew,LULU,8/3/1968,102,52,9,11,0,0
Keep The One You Got,JOE TEX,8/10/1968,72,52,5,7,0,0
Never Going Back,THE LOVIN' SPOONFUL,7/6/1968,105,73,8,24,0,0
Competition Ain't Nothin',LITTLE CARL CARLTON,6/22/1968,107,75,9,-1,0,0
I Love And I Lost,THE IMPRESSIONS,7/13/1968,109,61,9,8,0,0
Mr. Bojangles,THE NITTY GRITTY DIRT BAND,11/6/1970,111,9,21,0,0,0
Mr. Businessman,RAY STEVENS,7/27/1968,121,28,8,16,0,0
Mister Bo Jangles,BOBBY COLE,7/13/1968,126,79,6,-1,0,0
God Bless Our Love,THE BALLADS,7/20/1968,87,65,7,-1,0,0
I'm Gonna Do What They Do To Me,B.B. KING,7/6/1968,125,74,8,3,0,0
Workin' On A Groovy Thing,PATTI DREW,7/27/1968,103,62,12,33,0,0
Magic Bus,THE WHO,8/10/1968,83,25,9,36,0,0
Give Me One More Chance,WILMER AND THE DUKES,7/6/1968,119,80,8,5,0,0
Hip City (Part 2),JR. WALKER AND THE ALL STARS,8/10/1968,85,31,11,22,0,0
Girls Can't Do What The Guys Do,BETTY WRIGHT,8/3/1968,91,33,8,28,0,0
"Montage From ""How Sweet It Is"" (I Know That You Know)",THE LOVE GENERATION,9/14/1968,109,109,2,-1,0,0
Anyway That You Want Me,THE AMERICAN BREED,7/6/1968,107,88,8,-1,0,0
I Heard It Thru The Grapevine,KING CURTIS AND THE KINGPINS,8/10/1968,89,83,3,-1,0,0
I Can't Dance To The Music You're Playin',MARTHA REEVES AND THE VANDELLAS,8/10/1968,90,42,8,11,0,0
Soul Meeting,THE SOUL CLAN,7/13/1968,124,91,6,-1,0,0
I Am Your Man,BOBBY TAYLOR AND THE VANCOUVERS,9/14/1968,110,104,4,8,0,0
Send My Baby Back,FREDDIE HUGHES,6/8/1968,121,94,10,-1,0,0
Time Has Come Today,THE CHAMBERS BROTHERS,8/10/1968,95,11,14,46,8,0
Tell Someone You Love Them,"DINO, DESI AND BILLY",7/27/1968,125,92,6,6,0,0
M'Lady,SLY AND THE FAMILY STONE,9/14/1968,104,104,1,24,1,0
Mister Nico,FOUR JACKS AND A JILL,8/10/1968,98,96,2,-1,0,0
On The Road Again,WILLIE NELSON,9/7/1980,78,20,20,62,2,0
Sally Had A Party,FLAVOR,9/7/1968,95,95,3,-1,0,0
I've Got To Get A Message To You,THE BEE GEES,8/10/1968,101,8,14,0,0,0
There Was A Time,GENE CHANDLER,9/21/1968,94,82,3,-1,0,0
That Old Time Feelin',DEAN MARTIN,8/10/1968,104,104,2,-1,0,0
To Love Somebody,THE BEE GEES,7/15/1967,79,17,9,54,3,0
Fly Me To The Moon,BOBBY WOMACK,8/10/1968,106,52,14,47,0,0
Break My Mind,BOBBY WOOD,1/6/1968,117,110,5,-1,0,0
The Snake,AL WILSON,7/20/1968,118,27,14,36,0,0
April Again,DEAN MARTIN,8/10/1968,109,105,4,-1,0,0
The Woman I Love,B.B. KING,7/27/1968,113,94,7,7,0,0
Life Turned Her That Way,MEL TILLIS,6/3/1967,128,128,1,-1,0,0
Turn On Your Love Light,OSCAR TONEY JR.,8/12/1967,86,65,6,1,0,0
Midnight Confessions,THE GRASS ROOTS,8/10/1968,114,5,18,39,1,0
Do What You Gotta Do,BOBBY VEE,8/10/1968,115,83,7,-1,0,0
Singles Game,JAY AND THE TECHNIQUES,8/10/1968,116,116,1,-1,0,0
"Lullaby From ""Rosemary's Baby"" (Part 1)",MIA FARROW,8/3/1968,117,111,3,-1,0,0
Storybook Children,BILLY VERA &amp; JUDY CLAY,11/25/1967,105,54,10,-1,0,0
Hush,DEEP PURPLE,8/10/1968,120,4,11,48,2,0
Help Yourself (To All My Lovin'),JAMES AND BOBBY PURIFY,8/10/1968,121,94,6,7,0,0
Me And You,O.C. SMITH,11/22/1969,106,103,5,3,0,0
All My Love's Laughter,ED AMES,8/10/1968,123,122,4,8,0,0
Everybody's Talkin',NILSSON,8/10/1968,124,113,5,60,0,0
On A Beautiful Day,THE SUNSHINE COMPANY,7/27/1968,106,106,1,-1,0,0
People Make The World,ROOSEVELT GRIER,8/10/1968,126,126,1,-1,0,0
San Francisco (Wear Some Flowers In Your Hair),PAUL MAUTRIET AND HIS ORCHESTRA,8/10/1968,127,103,6,-1,0,0
Feel Like Makin' Love,ROBERTA FLACK,6/22/1974,78,1,16,57,0,0
The Night Chicago Died,PAPER LACE,6/15/1974,98,1,17,47,0,0
Annie's Song,JOHN DENVER,6/1/1974,87,1,17,61,7,0
Please Come To Boston,DAVE LOGGINS,6/1/1974,98,5,18,40,0,0
Sideshow,BLUE MAGIC,5/18/1974,92,8,21,45,0,0
Wildwood Weed,JIM STAFFORD,7/6/1974,84,7,14,34,0,0
Tell Me Something Good,RUFUS,6/15/1974,79,3,17,48,0,0
Keep On Smilin',WET WILLIE,5/25/1974,93,10,19,33,0,0
Takin' Care Of Business,BACHMAN-TURNER OVERDRIVE,5/18/1974,98,12,20,53,0,0
(You're) Having My Baby,PAUL ANKA,7/6/1974,82,1,15,50,2,0
Rock & Roll Heaven,RIGHTEOUS BROTHERS,5/25/1974,78,3,17,36,0,0
Rikki Don't Lose My Number,STEELY DAN,5/11/1974,84,4,19,-1,0,0
Sure As I'm Sittin' Here,THREE DOG NIGHT,6/29/1974,88,16,13,24,0,0
Shinin' On,GRAND FUNK,7/13/1974,63,11,11,33,0,0
I'm Leaving It All Up To You,DONNY &amp; MARIE OSMOND,7/6/1974,90,4,15,-1,0,0
Rock Me Gently,ANDY KIM,6/22/1974,81,1,18,48,0,0
You And Me Against The World,HELEN REDDY,6/15/1974,87,9,20,32,0,0
Radar Love,GOLDEN EARRING,5/11/1974,99,13,20,64,5,0
Hang On In There Baby,JOHNNY BRISTOL,6/29/1974,79,8,17,39,0,0
Rub It In,BILLY 'CRASH' CRADDOCK,6/29/1974,84,16,15,27,0,0
Rock Your Baby,GEORGE McCRAE,6/1/1974,93,1,17,36,5,0
Rock The Boat,AALIYAH,9/8/2001,57,14,25,33,0,0
Then Came You,DIONNE WARWICK &amp; THE SPINNERS,7/27/1974,51,1,19,-1,0,0
Nothing From Nothing,BILLY PRESTON,7/13/1974,70,1,18,41,2,0
My Thang,JAMES BROWN,6/22/1974,79,29,13,26,0,0
River's Risin',EDGAR WINTER,7/13/1974,102,33,10,10,0,0
If You Talk In Your Sleep,ELVIS PRESLEY,6/8/1974,77,17,13,25,0,0
Clap For The Wolfman,GUESS WHO,7/13/1974,105,6,17,50,0,0
Happiness Is Just Around The Bend,MAIN INGREDIENT,6/29/1974,97,35,12,27,0,0
Machine Gun,COMMODORES,6/15/1974,83,22,13,39,0,0
Can't Get Enough Of Your Love Babe,BARRY WHITE,8/3/1974,51,1,12,54,1,0
Fish Ain't Bitin',LAMONT DOZIER,6/15/1974,91,26,12,23,0,0
Finally Got Myself Together,IMPRESSIONS,5/4/1974,99,17,18,28,0,0
The Heart,GENE REDDING,5/4/1974,98,24,16,-1,0,0
Kung Fu,CURTIS MAYFIELD,6/22/1974,96,40,13,32,0,0
Time For Livin',SLY AND THE FAMILY STONE,7/6/1974,98,32,12,23,0,0
Come Monday,JIMMY BUFFETT,5/18/1974,96,30,14,46,0,0
Workin' At The Car Wash Blues,JIM CROCE,6/8/1974,84,32,11,-1,0,0
Let's Put It All Together,STYLISTICS,7/27/1974,77,18,12,30,0,0
Beach Baby,FIRST CLASS,7/20/1974,74,4,17,32,0,0
You Haven't Done Nothin',STEVIE WONDER,8/3/1974,93,1,19,42,1,0
Don't Change Horses,TOWER OF POWER,7/13/1974,101,26,11,34,0,0
Sugar Baby Love,RUBETTES,7/13/1974,109,37,11,29,0,0
Who Do You Think You Are,BO DONALDSON &amp; THE HEYWOODS,7/27/1974,89,15,12,-1,0,0
Sweet Home Alabama,LYNYRD SKYNYRD,7/27/1974,93,8,17,73,12,0
Between Her Goodbye & My Hello,GLADYS KNIGHT AND THE PIPS,6/29/1974,98,57,9,6,0,0
Free Man In Paris,JONI MITCHELL,7/27/1974,87,22,14,46,1,0
You're Welcome - Stop On By,BOBBY WOMACK,7/6/1974,97,59,7,35,0,0
Kalimba Story,EARTH WIND AND FIRE,7/6/1974,103,55,10,40,0,0
Be Thankful For What You've Got,WILLIAM DE VAUGHAN,5/4/1974,89,4,18,-1,0,0
Anorther Saturday Night,CAT STEVENS,8/3/1974,100,6,14,-1,0,0
Rings,LOBO,7/20/1974,79,43,9,28,0,0
Put Out The Light,JOE COCKER,6/22/1974,82,46,12,19,0,0
I Love My Friend,CHARLIE RICH,8/3/1974,96,24,13,18,0,0
You Can't Be A Beacon,DONNA FARGO,6/29/1974,91,57,13,18,0,0
Secretary,BETTY WRIGHT,7/13/1974,84,62,8,21,0,0
Eyes Of Silver,DOOBIE BROTHERS,7/27/1974,95,52,8,40,0,0
Walk On,ROY ORBISON,7/6/1968,126,121,2,25,0,0
Moonlight Special,RAY STEVENS,7/27/1974,90,73,7,6,0,0
Jive Turkey,OHIO PLAYERS,6/15/1974,75,47,11,28,0,0
Live It Up,ISLEY BROTHERS,7/27/1974,97,52,16,30,0,0
Room Full Of Roses,MICKEY GILLEY,6/8/1974,88,50,11,36,0,0
It's Only Rock'n'Roll,ROLLING STONES,8/3/1974,94,16,10,48,0,0
Get Out Of Denver,BOB SEGER,7/27/1974,94,80,4,31,0,0
Womblin' Summer Party,WOMBLES,8/3/1974,95,55,7,-1,0,0
Ballero,WAR,6/8/1974,85,33,10,29,0,0
It Could Have Been Me,SAMI JO,7/6/1974,102,46,14,-1,0,0
Tell Her Love Has Felt The Need,EDDIE KENDRICKS,8/10/1974,84,50,10,27,0,0
Most Likely You Go Your Way (And I'll Go Mine),BOB DYLAN / THE BAND,8/3/1974,101,66,6,39,0,0
I Saw A Man & He Danced With His Wife,CHER,8/10/1974,87,42,9,13,0,0
Already Gone,KELLY CLARKSON,8/22/2009,89,13,30,55,1,0
Makin' The Best Of A Bad Situation,DICK FELLER,7/6/1974,105,105,1,0,0,0
You Turned My World Around,FRANK SINATRA,8/3/1974,97,83,5,16,0,0
The Man That Turned My Mama On,TANYA TUCKER,8/3/1974,99,86,4,27,0,0
Earache My Eye,CHEECH &amp; CHONG,8/10/1974,92,9,13,-1,0,0
That's How It Goes,BLOODSTONE,7/27/1974,88,82,6,16,0,0
Captain Howdy,SIMON STOKES,7/6/1974,91,91,2,-1,0,0
It's Better To Have,DON COVAY,7/6/1974,106,63,7,7,0,0
I'm Coming Home,STORIES,6/17/1972,83,42,12,5,0,0
Old Home Filler-Up & Keep-On-A-Truckin' Cafe,C.W. McCALL,6/29/1974,90,54,7,-1,0,0
Funky Party,CLARENCE REID,8/3/1974,106,99,2,19,0,0
Ain't No Love In The Heart Of The City,"BOBBY ""BLUE"" BLAND",8/3/1974,104,91,8,49,0,0
I Honestly Love You,OLIVIA NEWTON-JOHN,8/10/1974,102,1,16,28,0,0
Midnight Flower,FOUR TOPS,8/3/1974,103,55,9,7,0,0
Song For Anna (Chanson D'Anna),HERB OHTA (OHTA-SAN),8/3/1974,107,104,2,-1,0,0
You Little Trustmaker,THE TYMES,8/10/1974,105,12,14,34,0,0
All Shook Up,SUZI QUATRO,8/10/1974,109,85,8,25,0,0
It's Still Rock & Roll To Me,BILLY JOEL,5/24/1980,38,1,21,64,0,0
Little Jeannie,ELTON JOHN,5/4/1980,65,3,21,0,0,0
Take Your Time (Do It Right),SOS BAND,5/24/1980,101,3,22,50,0,0
Sailing,CHRISTOPHER CROSS,6/15/1980,77,1,21,64,3,0
Emotional Rescue,ROLLING STONES,7/6/1980,33,3,19,47,2,0
In America,CHARLIE DANIELS BAND,6/1/1980,82,11,15,35,0,0
More Love,KIM CARNES,6/1/1980,75,10,19,36,0,0
Tired Of Toein' The Line,ROCKY BURNETTE,5/11/1980,71,8,19,46,0,0
Love The World Away,KENNY ROGERS,6/22/1980,44,14,12,-1,0,0
Misunderstanding,GENESIS,5/24/1980,81,14,18,45,0,0
One Fine Day,RITA COOLIDGE,9/1/1979,84,66,7,11,0,0
Fame,IRENE CARA,6/15/1980,88,4,26,55,0,1
Empire Strikes Back (Medley),MECO,6/15/1980,68,18,14,15,0,0
Let My Love Open The Door,PETE TOWNSEND,6/15/1980,69,9,19,-1,0,0
Into The Night,BENNY MARDONES,6/8/1980,110,11,21,45,0,0
Jojo,BOZ SCAGGS,6/15/1980,74,17,17,47,0,0
Take A Little Rhythm,ALI THOMSON,6/15/1980,92,15,17,-1,0,0
Old-Fashion Love,COMMODORES,6/22/1980,89,20,16,27,0,0
Why Not Me,FRED KNOBLOCK,6/29/1980,87,18,14,-1,0,0
Make A Little Magic,DIRT BAND,6/22/1980,71,25,16,27,0,0
Boulevard,JACKSON BROWNE,7/6/1980,72,19,16,37,0,0
All Out Of Love,AIR SUPPLY,6/15/1980,71,2,27,66,6,0
You're The Only Woman (You & I),AMBROSIA,7/13/1980,76,13,18,46,0,0
Drivin' My Life Away,EDDIE RABBITT,6/22/1980,90,5,25,52,2,0
Tulsa Time / Cocaine,ERIC CLAPTON,6/22/1980,74,30,14,-1,0,0
Give Me The Night,GEORGE BENSON,7/6/1980,77,4,23,57,0,0
Lookin' For Love,JOHNNY LEE,7/13/1980,67,5,21,50,0,0
One In A Million You,LARRY GRAHAM,6/29/1980,86,9,20,45,0,0
Gimme Some Lovin',THE SPENCER DAVIS GROUP,12/31/1966,100,7,13,53,6,0
Hot Rod Hearts,ROBBIE DUPREE,7/20/1980,74,15,18,-1,0,0
Someone That I Used To Love,NATALIE COLE,6/22/1980,87,21,21,34,0,0
Let Me Love You Tonight,PURE PRAIRIE LEAGUE,5/11/1980,81,10,17,38,1,0
Play The Game,QUEEN,6/29/1980,67,42,9,45,0,0
Late In The Evening,PAUL SIMON,8/10/1980,46,6,16,53,0,0
You'll Acompany Me,BOB SEGER,7/27/1980,82,14,16,-1,0,0
Love That Got Away,FIREFALL,6/29/1980,83,50,9,14,0,0
Years From Now,JACKIE WILSON,8/21/1961,91,37,6,-1,0,0
Hey There Lonely Girl,ROBERT JOHN,7/20/1980,85,31,13,16,0,0
You Better Run,PAT BENATAR,7/27/1980,72,42,11,32,0,0
Free Me,ROGER DALTREY,7/6/1980,88,53,10,-1,0,0
You're Supposed To Keep Your Love For Me,JERMAINE JACKSON,7/13/1980,86,34,13,9,0,0
How Does It Feel To Be Back,DARYL HALL &amp; JOHN OATES,7/20/1980,84,30,13,-1,0,0
Don't Ask Me Why,BILLY JOEL,8/3/1980,71,19,15,48,2,0
Under The Gun,POCO,7/20/1980,86,48,10,9,0,0
The Royal Mile,GERRY RAFFERTY,7/20/1980,88,54,8,20,0,0
Jesse,JULIAN LENNON,8/3/1985,75,54,6,11,0,0
Shandi,KISS,6/22/1980,88,47,10,33,0,0
He's So Shy,POINTER SISTERS,7/27/1980,83,3,26,48,0,0
Against The Wind,BOB SEGER,5/4/1980,54,5,17,55,0,0
Honey Honey,DAVID HUDSON,6/22/1980,109,59,12,4,0,0
First Time Love,LIVINGSTON TAYLOR,7/27/1980,84,38,10,4,0,0
Don't Misunderstand Me,ROSSINGTON COLLINS BAND,7/27/1980,85,55,9,37,0,0
No Night So Long,DIONNE WARWICK,7/27/1980,86,23,16,37,0,0
(Call Me) When The Spirit Moves On,TOUCH,7/20/1980,109,65,6,-1,0,0
Walks Like A Lady,JOURNEY,5/24/1980,83,32,13,36,0,0
First ... Be A Woman,LENORE O'MALLEY,7/27/1980,90,53,8,-1,0,0
Half Moon Silver,HOTEL,7/13/1980,90,72,7,1,0,0
Rock It,LIPPS INC.,8/3/1980,83,64,7,14,0,0
Fool For Your Loving,WHITESNAKE,8/3/1980,84,53,8,35,0,0
That Lovin' You Feelin' Again,ROY ORBISON &amp; EMMYLOU HARRIS,6/29/1980,82,55,8,-1,0,0
Beyond,HERB ALPERT,6/29/1980,85,50,8,11,0,0
Whatever You Decide,RANDY VANWARMER,7/20/1980,110,77,5,6,0,0
Xanadu,OLIVIA NEWTON-JOHN &amp; ELECTRIC LIGHT ORCHESTRA,8/10/1980,79,8,17,-1,0,0
How Do I Survive,AMY HOLLAND,8/10/1980,80,22,16,17,0,0
Stranger In My Own Town,FOGHAT,8/3/1980,85,81,3,-1,0,0
Sartorial Eloquence,ELTON JOHN,8/10/1980,82,39,12,12,0,0
Never Knew Love Like This Before,STEPHANIE MILLS,8/10/1980,83,6,25,49,0,0
One More Time For Love,BILLY PRESTON &amp; SYREETA,6/15/1980,90,52,10,-1,0,0
Everything Is Alright,SPIDER,8/3/1980,88,86,3,1,0,0
Let Me Be Your Angel,STACY LATTISAW,8/10/1980,87,21,24,36,0,0
A Lovers Holiday,CHANGE,5/11/1980,104,40,14,30,0,0
Red Light,LINDA CLIFFORD,8/10/1980,89,41,11,26,0,0
Where Did We Go Wrong,FRANKIE VALLI,7/20/1980,96,90,4,5,0,0
Shiver & Shake,SILENCERS,7/27/1980,96,81,5,1,0,0
Landlord,GLADYS KNIGHT AND THE PIPS,5/17/1980,108,46,13,26,0,0
King Of The Hill,RICK PINETTE &amp; OAK,5/11/1980,88,36,14,-1,0,0
Wango Tango,TED NUGENT,7/27/1980,87,86,4,50,1,0
I Just Can't Wait,J. GEILS BAND,7/13/1980,83,78,5,-1,0,0
Cry Just A Little,PAUL DAVIS,7/20/1980,81,78,4,13,0,0
Let's Go Round Again,AVERAGE WHITE BAND,6/22/1980,76,53,8,21,0,0
The Breaks (Part 1),KURTIS BLOW,8/10/1980,101,87,10,-1,0,0
Can't We Try,TEDDY PENDERGRASS,7/20/1980,104,52,18,25,0,0
Cowboys And Clowns,RONNIE MILSAP,8/10/1980,103,103,4,15,0,0
Percolator,SPYRO GYRA,7/27/1980,109,105,5,15,0,0
When Love Is Gone,PHOTOGLO,8/10/1980,106,106,1,-1,0,0
You're Precious Love,STEPHEN BISHOP &amp; YVONNE ELLIMAN,7/27/1980,110,105,3,-1,0,0
I Hear You Now,JON AND VANGELIS,8/10/1980,108,58,7,30,0,0
Turn On Your Light,IN TRANSIT,8/3/1980,107,107,3,-1,0,0
Hold Tight,VICKI SUE ROBINSON,7/30/1977,101,67,10,4,0,0
Everytime You Go Away,PAUL YOUNG,5/11/1985,70,1,23,35,0,0
If You Love Somebody Set Them Free,STING,6/8/1985,44,3,18,40,0,0
Never Surrender,COREY HART,6/8/1985,68,3,20,42,1,0
Who's Holding Donna Now,DeBARGE,6/1/1985,75,6,19,43,0,0
Glory Days,BRUCE SPRINGSTEEN,6/1/1985,48,5,18,60,2,0
Freeway Of Love,ARETHA FRANKLIN,6/22/1985,54,3,19,59,0,0
You Give Good Love,WHITNEY HOUSTON,5/11/1985,67,3,21,49,0,0
St Elmo's Fire (Man In Motion),JOHN PARR,6/22/1985,90,1,22,58,0,0
Summer Of '69,BRYAN ADAMS,6/29/1985,55,5,17,68,0,0
People Are People,DEPECHE MODE,5/25/1985,79,13,18,48,0,0
We Don't Need Another Hero,TINA TURNER,7/6/1985,52,2,16,60,0,0
What About Love,HEART,6/1/1985,73,10,21,53,0,0
You Spin Me Round (Like A Record),DEAD OR ALIVE,6/1/1985,88,11,18,69,1,0
Sentimental Street,NIGHT RANGER,5/25/1985,55,8,17,33,0,0
Rock Me Tonight,FREDDIE JACKSON,5/25/1985,85,18,19,48,0,0
